product_id,product_name,primary_category,discounted_price_value,actual_price_value,discount_rate,rating_value,price_competitiveness_index,discount_effectiveness_score,pricing_signal
B0B2RBP83P,"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6"" FHD Thin & Light Laptop(8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Xbox Game Pass/Platinum Grey/1.7Kg), 81X800LGIN",Computers&Accessories,37247.0,59890.0,0.38,4.0,0.0,0.376051459673429,No urgent price intervention.
B09XXZXQC1,"Xiaomi Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Rate| 6GB, 128GB| 2.5K+ Display (10.95-inch/27.81cm)|1 Billion Colours| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Gray",Computers&Accessories,26999.0,37999.0,0.29,4.6,0.00011374431222981743,0.3300346363186541,No urgent price intervention.
B09NS5TKPN,"LG 1.5 Ton 5 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protection, 2022 Model, PS-Q19YNZE, White)",Home&Kitchen,42990.0,75990.0,0.43,4.3,0.0004184341521179703,0.4574468085106383,No urgent price intervention.
B09WN3SRC7,Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74K (Black),Electronics,77990.0,139900.0,0.44,4.7,0.0007135873871510117,0.5116279069767442,No urgent price intervention.
B08GTYFC37,"SanDisk 1TB Extreme Portable SSD 1050MB/s R, 1000MB/s W,Upto 2 Meter Drop Protection with IP55 Water/dust Resistance, HW Encryption, PC,MAC & TypeC Smartphone Compatible, 5Y Warranty, External SSD",Computers&Accessories,10389.0,32000.0,0.68,4.4,0.0007747082384556702,0.740227610094013,No urgent price intervention.
B08J82K4GX,"Samsung 24-inch(60.46cm) FHD Monitor, IPS, 75 Hz, Bezel Less Design, AMD FreeSync, Flicker Free, HDMI, D-sub, (LF24T350FHWXXL, Dark Blue Gray)",Computers&Accessories,10099.0,19110.0,0.47,4.3,0.0008055596777366489,0.5,No urgent price intervention.
B0B19VJXQZ,"ECOVACS DEEBOT N8 2-in-1 Robotic Vacuum Cleaner, 2022 New Launch, Most Powerful Suction, Covers 2000+ Sq. Ft in One Charge, Advanced dToF Technology with OZMO Mopping (DEEBOT N8) - White",Home&Kitchen,27900.0,59900.0,0.53,4.4,0.0008068262460412845,0.5769421078673925,No urgent price intervention.
B095JPKPH3,OnePlus 163.8 cm (65 inches) U Series 4K LED Smart Android TV 65U1S (Black),Electronics,61999.0,69999.0,0.11,4.1,0.0009749294011199952,0.111578426521524,No urgent price intervention.
B09F5Z694W,"Canon E4570 All-in-One Wi-Fi Ink Efficient Colour Printer with FAX/ADF/Duplex Printing (Black)- Smart Speaker Compatible, Standard",Computers&Accessories,8349.0,9625.0,0.13,3.8,0.0010372216586088802,0.12221672439386443,Likely overpriced relative to customer value.
B0BC8BQ432,VU 164 cm (65 inches) The GloLED Series 4K Smart LED Google TV 65GloLED (Grey),Electronics,54990.0,85000.0,0.35,4.3,0.0011373888108371887,0.3723404255319149,No urgent price intervention.
B092R48XXB,"Mi Robot Vacuum-Mop P, Best-in-class Laser Navigation in 10-20K INR price band, Intelligent mapping, Robotic Floor Cleaner with 2 in 1 Mopping and Vacuum, App Control (WiFi, Alexa,GA), Strong suction",Home&Kitchen,18999.0,29999.0,0.37,4.1,0.0013252162810238062,0.3753092528451262,No urgent price intervention.
B0B15GSPQW,Samsung 138 cm (55 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA55AUE65AKXXL (Black),Electronics,47990.0,70900.0,0.32,4.3,0.001347003052239831,0.3404255319148936,No urgent price intervention.
B0B3XXSB1K,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UQ7500PSF (Ceramic Black),Electronics,47990.0,79990.0,0.4,4.3,0.001347003052239831,0.425531914893617,No urgent price intervention.
